number,DATA_EMISSAO,PEDC_DT_CHEGADA,P_PED_CLIENTE,ENTREGA_SIGE,V_TOTAL,V_FRETE,IPMP_VL_MEIO,DECODE(PVC.PEDC_SITUACAO.'C'.',IPI_SKU_ITEM,IPI_V_UNITARIO,IPI_DESC_ITEM
2304,22/08/2016,22/08/2016 23:06:00,63628065,6362806501,102.99,3.99,102.99,Liquidado,365217,99,0
2305,22/08/2016,22/08/2016 23:06:00,63628066,6362806601,165.9,6.9,165.9,Aberto,465096,159,0
2306,22/08/2016,22/08/2016 23:06:00,63628071,6362807101,0,0,8366.66,Cancelado,505479,1999,0
2307,22/08/2016,22/08/2016 23:06:00,63628071,6362807101,0,0,8366.66,Cancelado,544291,949,0
2308,22/08/2016,22/08/2016 23:06:00,63628071,6362807101,0,0,8366.66,Cancelado,589265,699,0
2309,22/08/2016,22/08/2016 23:06:00,63628071,6362807101,0,0,8366.66,Cancelado,592777,949,0
2310,22/08/2016,22/08/2016 23:06:00,63628071,6362807101,0,0,8366.66,Cancelado,596872,879,0
2311,22/08/2016,22/08/2016 23:06:00,63628071,6362807102,0,0,802.22,Cancelado,499157,799,0
2312,22/08/2016,22/08/2016 23:06:00,63628072,6362807201,1320.9,21,1320.9,Liquidado,590295,1299.9,0
2313,22/08/2016,22/08/2016 23:07:00,63628075,6362807501,137.9,6,137.9,Liquidado,247190,131.9,0
2314,22/08/2016,22/08/2016 23:07:00,63628078,6362807801,117.7,7.9,117.7,Liquidado,380729,54.9,0
2315,22/08/2016,22/08/2016 23:07:00,63628079,6362807901,84.2,6,84.2,Liquidado,479009,78.2,0
2316,22/08/2016,22/08/2016 23:07:00,63628080,6362808001,899,0,899,Liquidado,595984,899,0
2317,22/08/2016,22/08/2016 23:08:00,63628082,6362808201,1285.9,87,1285.9,Liquidado,540654,1248.9,"50,000,000"
2318,22/08/2016,22/08/2016 23:08:00,63628083,6362808301,0,0,7549,Cancelado,532908,7499,0
2319,22/08/2016,22/08/2016 23:08:00,63628085,6362808501,1629,0,1629,Liquidado,582345,1629,0
2320,22/08/2016,22/08/2016 23:09:00,63628088,6362808801,907.9,8.9,907.9,Liquidado,542576,899,0
2321,22/08/2016,22/08/2016 23:09:00,63628089,6362808901,1312.4,20,1312.4,Aberto,443454,359,"35,900,000"
2322,22/08/2016,22/08/2016 23:09:00,63628090,6362809001,49.8,12,49.8,Liquidado,479592,18.9,0
2323,22/08/2016,22/08/2016 23:09:00,63628092,6362809201,127.91,8.03,127.91,Liquidado,592049,19.98,0
2324,22/08/2016,22/08/2016 23:09:00,63628092,6362809202,63.69,3.99,63.69,Liquidado,592049,19.9,0
2325,22/08/2016,22/08/2016 23:09:00,63628093,6362809301,809.1,0,809.1,Liquidado,595984,899,"89,900,000"
2326,22/08/2016,22/08/2016 23:09:00,63628094,6362809401,556,8,556,Liquidado,111398,548,0
2327,22/08/2016,22/08/2016 23:09:00,63628097,6362809701,43,11,43,Liquidado,351226,32,0
2328,22/08/2016,22/08/2016 23:10:00,63628099,6362809901,67.9,8,67.9,Liquidado,402529,59.9,0
2329,22/08/2016,22/08/2016 23:10:00,63628102,6362810201,1943,44,1943,Liquidado,105893,1899,0
2330,22/08/2016,22/08/2016 23:10:00,63628103,6362810301,1117.9,8.9,1117.9,Liquidado,543795,1109,0
2331,22/08/2016,22/08/2016 23:10:00,63628104,6362810401,72.9,8,72.9,Liquidado,21179,64.9,0
2332,22/08/2016,22/08/2016 23:10:00,63628105,6362810501,805.8,15.9,805.8,Liquidado,589374,789.9,0
2333,22/08/2016,22/08/2016 23:10:00,63628106,6362810601,110.9,5,110.9,Aberto,417182,105.9,0
2334,22/08/2016,22/08/2016 23:10:00,63628107,6362810701,487,9,487,Liquidado,531826,478,0
2335,22/08/2016,22/08/2016 23:11:00,63628108,6362810801,1735.9,36,1735.9,Liquidado,244186,1699.9,0
2336,22/08/2016,22/08/2016 23:12:00,63628110,6362811001,195.9,16,195.9,Liquidado,526727,179.9,0
2337,22/08/2016,22/08/2016 23:12:00,63628111,6362811101,594,16,594,Liquidado,592687,578,0
2338,22/08/2016,22/08/2016 23:12:00,63628112,6362811201,205.9,7.9,205.9,Aberto,10563,198,0
2339,22/08/2016,22/08/2016 23:12:00,63628113,6362811301,2708.04,64,2708.04,Liquidado,376188,2698,"53,960,000"
2340,22/08/2016,22/08/2016 23:12:00,63628114,6362811401,121.6,7.9,121.6,Liquidado,501098,37.9,0
2341,22/08/2016,22/08/2016 23:12:00,63628116,6362811601,138,9,138,Liquidado,589546,129,0
2342,22/08/2016,22/08/2016 23:12:00,63628118,6362811801,420.9,51,420.9,Liquidado,590788,369.9,0
2343,22/08/2016,22/08/2016 23:12:00,63628119,6362811901,452,14,452,Liquidado,469797,438,0
2344,22/08/2016,22/08/2016 23:13:00,63628120,6362812001,726,15.9,726,Liquidado,589887,789,"78,900,000"
2345,22/08/2016,22/08/2016 23:13:00,63628121,6362812101,693.9,15.9,693.9,Aberto,590004,678,0
2346,22/08/2016,22/08/2016 23:13:00,63628122,6362812201,195.4,7.9,195.4,Liquidado,541967,37.5,0
2347,22/08/2016,22/08/2016 23:13:00,63628123,6362812301,249.9,0,249.9,Liquidado,103,249.9,0
2348,22/08/2016,22/08/2016 23:13:00,63628124,6362812401,752,14,752,Aberto,427930,738,0
2349,22/08/2016,22/08/2016 23:13:00,63628125,6362812501,887.9,8.9,887.9,Liquidado,596872,879,0
2350,22/08/2016,22/08/2016 23:14:00,63628127,6362812701,678,68,678,Liquidado,589911,305,0
2351,22/08/2016,22/08/2016 23:14:00,63628128,6362812801,0,0,1194.94,Cancelado,532881,2399,0
2352,22/08/2016,22/08/2016 23:14:00,63628128,6362812801,0,0,1224.06,Cancelado,532881,2399,0
2353,22/08/2016,22/08/2016 23:14:00,63628128,6362812802,0,0,121.91,Cancelado,509085,54.9,0
2354,22/08/2016,22/08/2016 23:14:00,63628128,6362812802,0,0,121.91,Cancelado,542818,119.9,0
2355,22/08/2016,22/08/2016 23:14:00,63628128,6362812802,0,0,124.89,Cancelado,509085,54.9,0
2356,22/08/2016,22/08/2016 23:14:00,63628128,6362812802,0,0,124.89,Cancelado,542818,119.9,0
2357,22/08/2016,22/08/2016 23:14:00,63628130,6362813001,804.9,15.9,804.9,Liquidado,589887,789,0
2358,22/08/2016,22/08/2016 23:14:00,63628131,6362813101,219,11,219,Liquidado,37014,208,0
2359,22/08/2016,22/08/2016 23:15:00,63628133,6362813301,437.9,8.9,437.9,Liquidado,588898,429,0
2360,22/08/2016,22/08/2016 23:15:00,63628134,6362813401,1822.9,143,1822.9,Aberto,110615,1679.9,0
2361,22/08/2016,22/08/2016 23:15:00,63628135,6362813501,117.7,7.9,117.7,Liquidado,380729,54.9,0
2362,22/08/2016,22/08/2016 23:15:00,63628136,6362813601,167.81,14,167.81,Aberto,36348,161.9,"8,090,000"
2363,22/08/2016,22/08/2016 23:15:00,63628137,6362813701,1898,0,1898,Aberto,542867,1898,0
2364,22/08/2016,22/08/2016 23:16:00,63628138,6362813801,1686.79,57.89,1686.79,Liquidado,507462,29.9,0
2365,22/08/2016,22/08/2016 23:16:00,63628138,6362813801,1686.79,57.89,1686.79,Liquidado,582345,1599,0
2366,22/08/2016,22/08/2016 23:16:00,63628139,6362813901,2068,119,2068,Liquidado,532880,1949,0
2367,22/08/2016,22/08/2016 23:16:00,63628140,6362814001,925.9,26.9,925.9,Liquidado,541448,899,0
2368,22/08/2016,22/08/2016 23:16:00,63628141,6362814101,109,0,109,Liquidado,535313,109,0
2369,22/08/2016,22/08/2016 23:16:00,63628141,6362814102,329.6,0,329.6,Liquidado,435202,149.9,0
2370,22/08/2016,22/08/2016 23:16:00,63628141,6362814102,329.6,0,329.6,Liquidado,549714,59.9,0
2371,22/08/2016,22/08/2016 23:16:00,63628142,6362814201,899,0,899,Liquidado,595984,899,0
2372,22/08/2016,22/08/2016 23:16:00,63628143,6362814301,106.8,15,106.8,Liquidado,593554,45.9,0
2373,22/08/2016,22/08/2016 23:16:00,63628144,6362814401,1909,11,1909,Liquidado,480238,1898,0
2374,22/08/2016,22/08/2016 23:16:00,63628145,6362814501,578.05,9,578.05,Liquidado,390382,599,"29,950,000"
2375,22/08/2016,22/08/2016 23:16:00,63628146,6362814601,3339,40,3339,Liquidado,532906,3299,0
2376,22/08/2016,22/08/2016 23:16:00,63628148,6362814801,1514.9,15.9,1514.9,Liquidado,596566,1499,0
2377,22/08/2016,22/08/2016 23:17:00,63628150,6362815001,135.9,6,135.9,Liquidado,596426,129.9,0
2378,22/08/2016,22/08/2016 23:17:00,63628151,6362815101,155,6,155,Liquidado,543258,149,0
2379,22/08/2016,22/08/2016 23:17:00,63628152,6362815201,547,9,547,Liquidado,365259,538,0
2380,22/08/2016,22/08/2016 23:17:00,63628153,6362815301,983.99,34.99,983.99,Liquidado,592777,949,0
2381,22/08/2016,22/08/2016 23:17:00,63628154,6362815401,77.8,7.9,77.8,Liquidado,507583,69.9,0
2382,22/08/2016,22/08/2016 23:17:00,63628156,6362815601,57.66,15,57.66,Liquidado,376987,44.9,"2,240,000"
2383,22/08/2016,22/08/2016 23:17:00,63628157,6362815701,64.66,33,64.66,Liquidado,242178,31.66,0
2384,22/08/2016,22/08/2016 23:17:00,63628157,6362815702,145.88,0,145.88,Liquidado,316024,145.88,0
2385,22/08/2016,22/08/2016 23:17:00,63628158,6362815801,520.9,41,520.9,Liquidado,467225,479.9,0
2386,22/08/2016,22/08/2016 23:17:00,63628159,6362815901,2614,15,1114,Liquidado,595887,2599,0
2387,22/08/2016,22/08/2016 23:17:00,63628159,6362815901,2614,15,1500,Liquidado,595887,2599,0
2388,22/08/2016,22/08/2016 23:17:00,63628161,6362816101,117.7,10,117.7,Liquidado,371763,35.9,0
2389,22/08/2016,22/08/2016 23:18:00,63628163,6362816301,988.99,39.99,988.99,Liquidado,592777,949,0
2390,22/08/2016,22/08/2016 23:18:00,63628164,6362816401,692,13,692,Liquidado,590872,679,0
2391,22/08/2016,22/08/2016 23:18:00,63628165,6362816501,75.55,10,75.55,Liquidado,100802,69,"3,450,000"
2392,22/08/2016,22/08/2016 23:18:00,63628166,6362816601,76.8,6.9,76.8,Liquidado,459895,69.9,0
2393,22/08/2016,22/08/2016 23:19:00,63628169,6362816901,767.89,19.99,767.89,Liquidado,342166,747.9,0
2394,22/08/2016,22/08/2016 23:19:00,63628170,6362817001,248.95,3.95,248.95,Liquidado,292642,245,0
2395,22/08/2016,22/08/2016 23:19:00,63628170,6362817002,142.95,3.95,142.95,Liquidado,106419,139,0
2396,22/08/2016,22/08/2016 23:19:00,63628171,6362817101,2014.9,15.9,2014.9,Liquidado,525622,1999,0
2397,22/08/2016,22/08/2016 23:19:00,63628172,6362817201,1271,32,1271,Liquidado,388782,1239,0
2398,22/08/2016,22/08/2016 23:19:00,63628173,6362817301,786,8,786,Liquidado,352352,778,0
2399,22/08/2016,22/08/2016 23:19:00,63628174,6362817401,81.9,12,81.9,Liquidado,459895,69.9,0
2400,22/08/2016,22/08/2016 23:20:00,63628179,6362817901,1511.9,12.9,1511.9,Liquidado,592114,1499,0
2401,22/08/2016,22/08/2016 23:20:00,63628181,6362818101,553,15,553,Liquidado,365259,538,0
2402,22/08/2016,22/08/2016 23:20:00,63628182,6362818201,215.9,6,215.9,Liquidado,375964,209.9,0
2403,22/08/2016,22/08/2016 23:20:00,63628183,6362818301,945.6,15,945.6,Liquidado,593642,1034,"103,400,000"
2404,22/08/2016,22/08/2016 23:20:00,63628184,6362818401,1507.9,8.9,200,Aberto,590388,1499,0
2405,22/08/2016,22/08/2016 23:20:00,63628184,6362818401,1507.9,8.9,1307.9,Aberto,590388,1499,0
2406,22/08/2016,22/08/2016 23:20:00,63628185,6362818501,175.5,12,175.5,Liquidado,380679,54.5,0
2407,22/08/2016,22/08/2016 23:20:00,63628187,6362818701,1260.9,12,1260.9,Liquidado,540653,1248.9,0
2408,22/08/2016,22/08/2016 23:20:00,63628188,6362818801,1157.9,8.9,1157.9,Liquidado,592628,1149,0
2409,22/08/2016,22/08/2016 23:21:00,63628189,6362818901,260.04,17,260.04,Liquidado,6174,248,"4,960,000"
2410,22/08/2016,22/08/2016 23:21:00,63628192,6362819201,806,8,806,Aberto,425368,798,0
2411,22/08/2016,22/08/2016 23:21:00,63628193,6362819301,37.4,5,37.4,Liquidado,242178,36,"3,600,000"
2412,22/08/2016,22/08/2016 23:21:00,63628194,6362819401,109.8,9.9,109.8,Liquidado,596779,99.9,0
2413,22/08/2016,22/08/2016 23:22:00,63628196,6362819601,77.9,8,77.9,Liquidado,459895,69.9,0
2414,22/08/2016,22/08/2016 23:22:00,63628197,6362819701,92.9,13,92.9,Liquidado,502788,79.9,0
2415,22/08/2016,22/08/2016 23:22:00,63628204,6362820401,456.9,7,456.9,Liquidado,372449,449.9,0
2416,22/08/2016,22/08/2016 23:23:00,63628207,6362820701,209.1,30,209.1,Liquidado,578620,199,"19,900,000"
2417,22/08/2016,22/08/2016 23:23:00,63628208,6362820801,309.82,25,309.82,Liquidado,405476,149.9,"7,490,000"
2418,22/08/2016,22/08/2016 23:23:00,63628209,6362820901,148.9,24,148.9,Liquidado,361766,124.9,0
2419,22/08/2016,22/08/2016 23:23:00,63628213,6362821301,137.6,15.9,137.6,Aberto,445830,25.9,0
2420,22/08/2016,22/08/2016 23:23:00,63628213,6362821301,137.6,15.9,137.6,Aberto,445831,47.9,0
2421,22/08/2016,22/08/2016 23:23:00,63628213,6362821301,137.6,15.9,137.6,Aberto,445832,47.9,0
2422,22/08/2016,22/08/2016 23:24:00,63628217,6362821701,805.8,15.9,805.8,Liquidado,589374,789.9,0
2423,22/08/2016,22/08/2016 23:24:00,63628218,6362821801,49.75,6.99,49.75,Aberto,341748,22.5,"1,120,000"
2424,22/08/2016,22/08/2016 23:24:00,63628219,6362821901,557,9,557,Liquidado,1526,548,0
2425,22/08/2016,22/08/2016 23:25:00,63628225,6362822501,283,5,283,Liquidado,370172,278,0
2426,22/08/2016,22/08/2016 23:25:00,63628226,6362822601,119.7,0,119.7,Liquidado,590830,39.9,0
2427,22/08/2016,22/08/2016 23:25:00,63628226,6362822601,119.7,0,119.7,Liquidado,590831,39.9,0
2428,22/08/2016,22/08/2016 23:25:00,63628226,6362822601,119.7,0,119.7,Liquidado,590833,39.9,0
2429,22/08/2016,22/08/2016 23:25:00,63628227,6362822701,75.9,31,75.9,Liquidado,255047,44.9,0
2430,22/08/2016,22/08/2016 23:26:00,63628233,6362823301,98.91,9,98.91,Liquidado,381501,99.9,"9,990,000"
2431,22/08/2016,22/08/2016 23:26:00,63628237,6362823701,2009.9,10,2009.9,Liquidado,532885,1999.9,0
2432,22/08/2016,22/08/2016 23:27:00,63628239,6362823901,41.61,6,41.61,Liquidado,593482,12.9,"1,030,000"
2433,22/08/2016,22/08/2016 23:27:00,63628241,6362824101,919.39,20.39,919.39,Liquidado,595984,899,0
2434,22/08/2016,22/08/2016 23:27:00,63628242,6362824201,27.9,9,27.9,Liquidado,479592,18.9,0
2435,22/08/2016,22/08/2016 23:27:00,63628243,6362824301,216.9,20,216.9,Aberto,591980,196.9,0
2436,22/08/2016,22/08/2016 23:27:00,63628243,6362824302,682.6,80,682.6,Aberto,338373,79.9,0
2437,22/08/2016,22/08/2016 23:27:00,63628243,6362824302,682.6,80,682.6,Aberto,338378,67.9,0
2438,22/08/2016,22/08/2016 23:27:00,63628243,6362824302,682.6,80,682.6,Aberto,466754,179.9,0
2439,22/08/2016,22/08/2016 23:27:00,63628243,6362824302,682.6,80,682.6,Aberto,518867,274.9,0
2440,22/08/2016,22/08/2016 23:27:00,63628245,6362824501,2810,11,352.32,Aberto,549725,2799,0
2441,22/08/2016,22/08/2016 23:27:00,63628245,6362824501,2810,11,2457.68,Aberto,549725,2799,0
2442,22/08/2016,22/08/2016 23:28:00,63628249,6362824901,587,9,587,Liquidado,415550,578,0
2443,22/08/2016,22/08/2016 23:28:00,63628250,6362825001,145.8,15.9,145.8,Liquidado,19395,129.9,0
2444,22/08/2016,22/08/2016 23:28:00,63628252,6362825201,899,0,80.1,Liquidado,595984,899,0
2445,22/08/2016,22/08/2016 23:28:00,63628252,6362825201,899,0,818.9,Liquidado,595984,899,0
2446,22/08/2016,22/08/2016 23:28:00,63628257,6362825701,98.04,3.99,98.04,Liquidado,365217,99,"4,950,000"
2447,22/08/2016,22/08/2016 23:29:00,63628259,6362825901,584.21,29.9,584.21,Aberto,490426,615.9,"61,590,000"
2448,22/08/2016,22/08/2016 23:29:00,63628260,6362826001,186.21,9,186.21,Liquidado,462483,196.9,"19,690,000"
2449,22/08/2016,22/08/2016 23:29:00,63628262,6362826201,468,20,468,Liquidado,409716,448,0
2450,22/08/2016,22/08/2016 23:29:00,63628263,6362826301,657,12.9,657,Liquidado,590004,678,"33,900,000"
2451,22/08/2016,22/08/2016 23:29:00,63628264,6362826401,1525.9,26.9,1525.9,Liquidado,586859,1499,0
2452,22/08/2016,22/08/2016 23:30:00,63628267,6362826701,1524.9,25.9,1524.9,Liquidado,586859,1499,0
2453,22/08/2016,22/08/2016 23:30:00,63628268,6362826801,44.9,9,44.9,Liquidado,490387,35.9,0
2454,22/08/2016,22/08/2016 23:30:00,63628268,6362826802,117.8,18,117.8,Liquidado,275677,69.9,0
2455,22/08/2016,22/08/2016 23:30:00,63628268,6362826802,117.8,18,117.8,Liquidado,549764,29.9,0
2456,22/08/2016,22/08/2016 23:30:00,63628271,6362827101,171.4,7.9,171.4,Liquidado,380738,54.5,0
2457,22/08/2016,22/08/2016 23:31:00,63628274,6362827401,90.9,11,90.9,Liquidado,477201,79.9,0
2458,22/08/2016,22/08/2016 23:31:00,63628277,6362827701,412.91,8,412.91,Liquidado,372449,449.9,"44,990,000"
2459,22/08/2016,22/08/2016 23:31:00,63628277,6362827702,666,8,666,Liquidado,348565,658,0
2460,22/08/2016,22/08/2016 23:31:00,63628278,6362827801,1328.99,29.99,1328.99,Liquidado,587845,1272,0
2461,22/08/2016,22/08/2016 23:31:00,63628278,6362827801,1328.99,29.99,1328.99,Liquidado,587848,17,0
2462,22/08/2016,22/08/2016 23:31:00,63628278,6362827801,1328.99,29.99,1328.99,Liquidado,587849,10,0
2463,22/08/2016,22/08/2016 23:31:00,63628279,6362827901,109.9,0,109.9,Liquidado,9160,109.9,0
2464,22/08/2016,22/08/2016 23:32:00,63628282,6362828201,93.91,4,93.91,Liquidado,344369,99.9,"9,990,000"
2465,22/08/2016,22/08/2016 23:32:00,63628285,6362828501,154.9,29,154.9,Liquidado,343764,125.9,0
2466,22/08/2016,22/08/2016 23:32:00,63628285,6362828502,244.05,36,244.05,Liquidado,304275,219,"10,950,000"
2467,22/08/2016,22/08/2016 23:32:00,63628286,6362828601,854.9,25.9,854.9,Liquidado,589888,829,0
2468,22/08/2016,22/08/2016 23:32:00,63628288,6362828801,41.41,10,41.41,Liquidado,232444,34.9,"3,490,000"
2469,22/08/2016,22/08/2016 23:32:00,63628289,6362828901,807.8,17.9,807.8,Liquidado,589374,789.9,0
2470,22/08/2016,22/08/2016 23:32:00,63628291,6362829101,1610,12,1610,Liquidado,536434,1598,0
2471,22/08/2016,22/08/2016 23:32:00,63628293,6362829301,2361,62,2361,Liquidado,439324,2299,0
2472,22/08/2016,22/08/2016 23:32:00,63628295,6362829501,77.8,7.9,77.8,Liquidado,459895,69.9,0
2473,22/08/2016,22/08/2016 23:33:00,63628297,6362829701,173.7,7.9,173.7,Liquidado,519104,82.9,0
2474,22/08/2016,22/08/2016 23:33:00,63628298,6362829801,120.9,11,120.9,Liquidado,534243,109.9,0
2475,22/08/2016,22/08/2016 23:33:00,63628299,6362829901,51.15,8,51.15,Liquidado,443727,46.9,"3,750,000"
2476,22/08/2016,22/08/2016 23:33:00,63628301,6362830101,1169.82,0,1169.82,Aberto,590208,649.9,"64,990,000"
2477,22/08/2016,22/08/2016 23:33:00,63628301,6362830102,1198,0,1198,Liquidado,311131,1198,0
2478,22/08/2016,22/08/2016 23:33:00,63628302,6362830201,819.9,21,819.9,Aberto,544007,798.9,0
2479,22/08/2016,22/08/2016 23:33:00,63628302,6362830202,1192,43,1192,Liquidado,388782,1149,0
2480,22/08/2016,22/08/2016 23:33:00,63628303,6362830301,793,15,793,Liquidado,352352,778,0
2481,22/08/2016,22/08/2016 23:33:00,63628304,6362830401,207.34,9.87,207.34,Liquidado,405481,34.95,"2,790,000"
2482,22/08/2016,22/08/2016 23:33:00,63628304,6362830401,207.34,9.87,207.34,Liquidado,532091,4.9,0.39
2483,22/08/2016,22/08/2016 23:33:00,63628306,6362830601,2533,134,2533,Aberto,532886,2399,0
2484,22/08/2016,22/08/2016 23:33:00,63628308,6362830801,107.1,9,107.1,Liquidado,484685,109,"10,900,000"
2485,22/08/2016,22/08/2016 23:33:00,63628309,6362830901,332.9,33,332.9,Aberto,364152,299.9,0
2486,22/08/2016,22/08/2016 23:34:00,63628310,6362831001,399.8,59.9,399.8,Aberto,585268,339.9,0
2487,22/08/2016,22/08/2016 23:34:00,63628311,6362831101,239.8,0,239.8,Liquidado,441060,119.9,0
2488,22/08/2016,22/08/2016 23:34:00,63628313,6362831301,764,16,764,Liquidado,583143,748,0
2489,22/08/2016,22/08/2016 23:34:00,63628315,6362831501,239.8,0,239.8,Liquidado,441060,119.9,0
2490,22/08/2016,22/08/2016 23:34:00,63628319,6362831901,96.9,27,96.9,Liquidado,113192,69.9,0
2491,22/08/2016,22/08/2016 23:34:00,63628320,6362832001,45.9,6,45.9,Aberto,369826,39.9,0
2492,22/08/2016,22/08/2016 23:35:00,63628322,6362832201,703.9,4,703.9,Liquidado,493908,699.9,0
2493,22/08/2016,22/08/2016 23:35:00,63628322,6362832202,1380,12,1380,Liquidado,438960,399,0
2494,22/08/2016,22/08/2016 23:35:00,63628322,6362832202,1380,12,1380,Liquidado,444722,969,0
2495,22/08/2016,22/08/2016 23:35:00,63628322,6362832203,381.9,22,381.9,Liquidado,3718,202,0
2496,22/08/2016,22/08/2016 23:35:00,63628322,6362832203,381.9,22,381.9,Liquidado,375966,157.9,0
2497,22/08/2016,22/08/2016 23:35:00,63628324,6362832401,778,0,778,Aberto,126310,778,0
2498,22/08/2016,22/08/2016 23:35:00,63628326,6362832601,1091.4,15,1091.4,Liquidado,497390,299,"29,900,000"
2499,22/08/2016,22/08/2016 23:35:00,63628327,6362832701,777.43,14.99,777.43,Aberto,126310,778,"15,560,000"
2500,22/08/2016,22/08/2016 23:36:00,63628331,6362833101,1394,116,1394,Liquidado,443454,355,"35,500,000"
2501,22/08/2016,22/08/2016 23:36:00,63628332,6362833201,1224,25,1224,Liquidado,593576,1199,0
2502,22/08/2016,22/08/2016 23:36:00,63628333,6362833301,431.4,12,431.4,Liquidado,459895,69.9,0
2503,22/08/2016,22/08/2016 23:36:00,63628334,6362833401,344,15,344,Liquidado,384168,329,0
2504,22/08/2016,22/08/2016 23:36:00,63628336,6362833601,434.9,35,434.9,Liquidado,446895,399.9,0
2505,22/08/2016,22/08/2016 23:36:00,63628338,6362833801,71.9,12,71.9,Aberto,591140,59.9,0
2506,22/08/2016,22/08/2016 23:36:00,63628339,6362833901,232.9,7.9,232.9,Liquidado,541968,37.5,0
2507,22/08/2016,22/08/2016 23:37:00,63628341,6362834101,2414,15,2414,Liquidado,532886,2399,0
2508,22/08/2016,22/08/2016 23:37:00,63628343,6362834301,158.91,7,158.91,Liquidado,405324,159.9,"7,990,000"
2509,22/08/2016,22/08/2016 23:37:00,63628344,6362834401,226.8,6.9,226.8,Aberto,504138,219.9,0
2510,22/08/2016,22/08/2016 23:38:00,63628349,6362834901,154.9,15.9,154.9,Aberto,526759,139,0
2511,22/08/2016,22/08/2016 23:38:00,63628351,6362835101,796.9,17.9,796.9,Liquidado,596423,779,0
2512,22/08/2016,22/08/2016 23:38:00,63628352,6362835201,1728.99,29.99,1728.99,Aberto,589080,1699,0
2513,22/08/2016,22/08/2016 23:38:00,63628353,6362835301,302.9,46,302.9,Liquidado,590798,256.9,0
2514,22/08/2016,22/08/2016 23:38:00,63628355,6362835501,167.7,7.9,167.7,Aberto,492565,79.9,0
2515,22/08/2016,22/08/2016 23:38:00,63628356,6362835601,1522.9,23.9,1522.9,Liquidado,596566,1499,0
2516,22/08/2016,22/08/2016 23:38:00,63628357,6362835701,2894.1,14.98,2894.1,Liquidado,578682,799.75,"79,970,000"
2517,22/08/2016,22/08/2016 23:38:00,63628358,6362835801,131.41,8,131.41,Liquidado,357880,129.9,"6,490,000"
2518,22/08/2016,22/08/2016 23:38:00,63628360,6362836001,527.2,29,527.2,Liquidado,387127,498.2,0
2519,22/08/2016,22/08/2016 23:38:00,63628361,6362836101,902.9,25.9,902.9,Liquidado,588896,448,0
2520,22/08/2016,22/08/2016 23:38:00,63628361,6362836101,902.9,25.9,902.9,Liquidado,588898,429,0
2521,22/08/2016,22/08/2016 23:39:00,63628362,6362836201,1058.1,14.98,1058.1,Liquidado,583294,289.75,"28,970,000"
2522,22/08/2016,22/08/2016 23:39:00,63628363,6362836301,146.7,6.9,146.7,Liquidado,459895,69.9,0
2523,22/08/2016,22/08/2016 23:39:00,63628364,6362836401,1309.9,10,1309.9,Liquidado,590295,1299.9,0
2524,22/08/2016,22/08/2016 23:39:00,63628365,6362836501,805.9,26.9,805.9,Liquidado,596423,779,0
2525,22/08/2016,22/08/2016 23:39:00,63628366,6362836601,220.4,14.9,220.4,Liquidado,380684,54.9,0
2526,22/08/2016,22/08/2016 23:39:00,63628366,6362836601,220.4,14.9,220.4,Liquidado,416942,36.9,0
2527,22/08/2016,22/08/2016 23:39:00,63628366,6362836601,220.4,14.9,220.4,Liquidado,501098,37.9,0
2528,22/08/2016,22/08/2016 23:39:00,63628368,6362836801,4719,20,4719,Liquidado,532890,4699,0
2529,22/08/2016,22/08/2016 23:39:00,63628371,6362837101,330.9,21,330.9,Liquidado,405149,309.9,0
2530,22/08/2016,22/08/2016 23:39:00,63628371,6362837102,662.8,42,662.8,Liquidado,36357,284.9,0
2531,22/08/2016,22/08/2016 23:39:00,63628371,6362837102,662.8,42,662.8,Liquidado,384169,335.9,0
2532,22/08/2016,22/08/2016 23:39:00,63628372,6362837201,145.2,3,145.2,Liquidado,379727,71.1,0
2533,22/08/2016,22/08/2016 23:39:00,63628373,6362837301,2317.99,19.99,2317.99,Liquidado,540583,2298,0
2534,22/08/2016,22/08/2016 23:40:00,63628378,6362837801,127.8,10,127.8,Liquidado,509085,54.9,0
2535,22/08/2016,22/08/2016 23:40:00,63628378,6362837801,127.8,10,127.8,Liquidado,509086,62.9,0
2536,22/08/2016,22/08/2016 23:40:00,63628380,6362838001,444.9,15,444.9,Liquidado,435256,429.9,0
2537,22/08/2016,22/08/2016 23:41:00,63628383,6362838301,1128.99,29.99,1128.99,Liquidado,589247,1099,0
2538,22/08/2016,22/08/2016 23:41:00,63628384,6362838401,321,22,321,Liquidado,544611,299,0
2539,22/08/2016,22/08/2016 23:41:00,63628387,6362838701,272.9,13,272.9,Liquidado,235166,259.9,0
2540,22/08/2016,22/08/2016 23:41:00,63628389,6362838901,114.9,8,114.9,Liquidado,336452,106.9,0
2541,22/08/2016,22/08/2016 23:41:00,63628391,6362839101,1643.99,24.99,1643.99,Liquidado,582345,1619,0
2542,22/08/2016,22/08/2016 23:41:00,63628392,6362839201,244,18.9,244,Liquidado,495296,37.9,0
2543,22/08/2016,22/08/2016 23:41:00,63628392,6362839201,244,18.9,244,Liquidado,594948,8.9,0
2544,22/08/2016,22/08/2016 23:42:00,63628394,6362839401,31.21,7,31.21,Aberto,419382,26.9,"2,690,000"
2545,22/08/2016,22/08/2016 23:42:00,63628394,6362839402,88.42,13,88.42,Aberto,417700,41.9,"4,190,000"
